measure	row	version	bold_header	indent_header	redcap	worksheet	column
Intrusive Experiences (IE)	576	2	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Defensive Avoidance (DA)	577	2	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Dissociation (DIS)	578	2	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Sexual Concerns (SC)	579	2	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Dysfxn Sexual Behavior (DSB)	580	2	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Impaired Self-reference (ISR)	581	2	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
Tension Reduction Behavior (TRB)	582	2	Traumatic Symptom Inventory	Traumatic Symptom Inventory	NA	NA	NA
MMPI-Rf	583	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
L-r: Uncommon Virtues	584	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
F-r: Infrequent Responses	585	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
K-r: Adjustment Validity	586	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
EID: Emotional/Internalizing Dysfxn	587	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
THD: Thought Dysfunction	588	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
BDX: Behavioral/Externalizing Dysfxn	589	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
RCd: Demoralization	590	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC1: Somatic Complaints	591	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC2: Low Positive Emotions	592	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC3: Cynicism	593	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC4: Antisocial Behavior	594	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC6: Ideas of Persecution	595	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC7: Dysfxn Negative Emotions	596	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC8: Aberrant Experiences	597	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
RC9: Hypomanic Activation	598	2	MMPI-Rf	MMPI-Rf	NA	NA	NA
MMPI-2	599	2	MMPI-2	MMPI-2	NA	NA	NA
L	600	2	MMPI-2	MMPI-2	NA	NA	NA
F	601	2	MMPI-2	MMPI-2	NA	NA	NA
K	602	2	MMPI-2	MMPI-2	NA	NA	NA
1 - Hs	603	2	MMPI-2	MMPI-2	NA	NA	NA
2 - D	604	2	MMPI-2	MMPI-2	NA	NA	NA
3 - Hy	605	2	MMPI-2	MMPI-2	NA	NA	NA
4 - Pd	606	2	MMPI-2	MMPI-2	NA	NA	NA
5 - Mf	607	2	MMPI-2	MMPI-2	NA	NA	NA
6 - Pa	608	2	MMPI-2	MMPI-2	NA	NA	NA
7 - Pt	609	2	MMPI-2	MMPI-2	NA	NA	NA
8 - Sc	610	2	MMPI-2	MMPI-2	NA	NA	NA
9 - Ma	611	2	MMPI-2	MMPI-2	NA	NA	NA
0 - Si	612	2	MMPI-2	MMPI-2	NA	NA	NA
QUEST	613	2	QUEST	QUEST	NA	NA	NA
Total Score	614	2	QUEST	QUEST	NA	NA	NA
Communication	615	2	QUEST	QUEST	NA	NA	NA
Work & Finances	616	2	QUEST	QUEST	NA	NA	NA
Hobbies	617	2	QUEST	QUEST	NA	NA	NA
Physical	618	2	QUEST	QUEST	NA	NA	NA
Psychosocial	619	2	QUEST	QUEST	NA	NA	NA
SIMS	620	2	SIMS	SIMS	NA	NA	NA
Psychosis	621	2	SIMS	SIMS	NA	NA	NA
Neurologic Impairment	622	2	SIMS	SIMS	NA	NA	NA
Amnestic Disorders	623	2	SIMS	SIMS	NA	NA	NA
Low Intelligence	624	2	SIMS	SIMS	NA	NA	NA
Affective Disorders	625	2	SIMS	SIMS	NA	NA	NA
Total Score	626	2	SIMS	SIMS	NA	NA	NA
PTSD Checklist	627	2	PTSD Checklist	PTSD Checklist	NA	NA	NA
Brief Symptom Inventory 18	628	2	Brief Symptom Inventory 18	Brief Symptom Inventory 18	NA	NA	NA
Somatization	629	2	Brief Symptom Inventory 18	Brief Symptom Inventory 18	NA	NA	NA
Depression	630	2	Brief Symptom Inventory 18	Brief Symptom Inventory 18	NA	NA	NA
Anxiety	631	2	Brief Symptom Inventory 18	Brief Symptom Inventory 18	NA	NA	NA
GSI	632	2	Brief Symptom Inventory 18	Brief Symptom Inventory 18	NA	NA	NA
COGNITIVE STATUS	13	3.0	COGNITIVE STATUS	COGNITIVE STATUS	NA	NA	NA
Information & Orientation (WMS-III)	15	3.0	Information & Orientation (WMS-III)	Information & Orientation (WMS-III)	wms_io_raw	Template	3
Information & Orientation (WMS-III)	15	3.0	Information & Orientation (WMS-III)	Information & Orientation (WMS-III)	wms_io_per	Template	5
Temporal Orientation	16	3.0	Temporal Orientation	Temporal Orientation	NA	NA	NA
Mini Mental State Examination	17	3.0	Mini Mental State Examination	Mini Mental State Examination	NA	NA	NA
R-BANS	18	3.0	R-BANS	R-BANS	NA	NA	NA
Total Scale	19	3.0	R-BANS	R-BANS	NA	NA	NA
Immediate Memory	20	3.0	R-BANS	R-BANS	NA	NA	NA
List Learning	21	3.0	R-BANS	Immediate Memory	NA	NA	NA
Story Memory	22	3.0	R-BANS	Immediate Memory	NA	NA	NA
Visuospatial/Constructional	23	3.0	R-BANS	R-BANS	NA	NA	NA
Figure Copy	24	3.0	R-BANS	Visuospatial/Constructional	NA	NA	NA
Line Orientation	25	3.0	R-BANS	Visuospatial/Constructional	NA	NA	NA
Language	26	3.0	R-BANS	R-BANS	NA	NA	NA
Picture Naming	27	3.0	R-BANS	Language	NA	NA	NA
Semantic Fluency	28	3.0	R-BANS	Language	NA	NA	NA
Attention	29	3.0	R-BANS	R-BANS	NA	NA	NA
Digit Span	30	3.0	R-BANS	Attention	NA	NA	NA
Coding	31	3.0	R-BANS	Attention	NA	NA	NA
Delayed Memory	32	3.0	R-BANS	R-BANS	NA	NA	NA
List Recall	33	3.0	R-BANS	Delayed Memory	NA	NA	NA
List Recognition	34	3.0	R-BANS	Delayed Memory	NA	NA	NA
Story Recall	35	3.0	R-BANS	Delayed Memory	NA	NA	NA
Figure Recall	36	3.0	R-BANS	Delayed Memory	NA	NA	NA
Mattis Dementia Rating Scale-2	37	3.0	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Attention	38	3.0	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Initiation / Perseveration	39	3.0	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Constructional	40	3.0	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Conceptualization	41	3.0	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Memory	42	3.0	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
Total Score	43	3.0	Mattis Dementia Rating Scale-2	Mattis Dementia Rating Scale-2	NA	NA	NA
INTELLECTUAL ABILITY	45	3.0	INTELLECTUAL ABILITY	INTELLECTUAL ABILITY	NA	NA	NA
Wechsler Adult Intelligence Scale-IV	47	3.0	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	NA	NA	NA
Full Scale IQ	48	3.0	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	fsiq	Template	3
Verbal Comprehension Index	49	3.0	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	vci	Template	4
Similarities	50	3.0	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	sim_raw	Template	3
Similarities	50	3.0	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	sim_ss	Template	4
Vocabulary	51	3.0	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	voc_raw	Template	3
Vocabulary	51	3.0	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	voc_ss	Template	4
Information	52	3.0	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	in_raw	Template	3
Information	52	3.0	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	in_ss	Template	4
Comprehension	53	3.0	Wechsler Adult Intelligence Scale-IV	Verbal Comprehension Index	NA	NA	NA
Perceptual Reasoning Index	54	3.0	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	pri	Template	4
Block Design	55	3.0	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	bd_raw	Template	3
Block Design	55	3.0	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	bd_ss	Template	4
Matrix Reasoning	56	3.0	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	mr_raw	Template	3
Matrix Reasoning	56	3.0	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	mr_ss	Template	4
Visual Puzzles	57	3.0	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	vp_raw	Template	3
Visual Puzzles	57	3.0	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	vp_ss	Template	4
Picture Completion	58	3.0	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	dsp_raw	Template	3
Picture Completion	58	3.0	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	dsp_ss	Template	4
Figure Weights	59	3.0	Wechsler Adult Intelligence Scale-IV	Perceptual Reasoning Index	NA	NA	NA
Working Memory Index	60	3.0	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	wmi	Template	4
Digit Span	61	3.0	Wechsler Adult Intelligence Scale-IV	Working Memory Index	NA	NA	NA
Arithmetic	62	3.0	Wechsler Adult Intelligence Scale-IV	Working Memory Index	ar_raw	Template	3
Arithmetic	62	3.0	Wechsler Adult Intelligence Scale-IV	Working Memory Index	ar_ss	Template	4
L-N Sequencing	63	3.0	Wechsler Adult Intelligence Scale-IV	Working Memory Index	NA	NA	NA
Processing Speed Index	64	3.0	Wechsler Adult Intelligence Scale-IV	Wechsler Adult Intelligence Scale-IV	psi	Template	4
Symbol Search	65	3.0	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	ss_raw	Template	3
Symbol Search	65	3.0	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	ss_ss	Template	4
Coding	66	3.0	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	cd_raw	Template	3
Coding	66	3.0	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	cd_ss	Template	4
Cancellation	67	3.0	Wechsler Adult Intelligence Scale-IV	Processing Speed Index	NA	NA	NA
Wechsler Adult Intelligence Scale-III	68	3.0	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Verbal IQ	69	3.0	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Performance IQ	70	3.0	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Full Scale IQ	71	3.0	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Verbal Comprehension Index	72	3.0	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Vocabulary	73	3.0	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	NA	NA	NA
Similarities	74	3.0	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	NA	NA	NA
Information	75	3.0	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	NA	NA	NA
Comprehension	76	3.0	Wechsler Adult Intelligence Scale-III	Verbal Comprehension Index	NA	NA	NA
Perceptual Organization Index	77	3.0	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Picture Completion	78	3.0	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	NA	NA	NA
Block Design	79	3.0	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	NA	NA	NA
Matrix Reasoning	80	3.0	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	NA	NA	NA
Picture Arrangement	81	3.0	Wechsler Adult Intelligence Scale-III	Perceptual Organization Index	NA	NA	NA
Working Memory Index	82	3.0	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Arithmetic	83	3.0	Wechsler Adult Intelligence Scale-III	Working Memory Index	NA	NA	NA
Digit Span	84	3.0	Wechsler Adult Intelligence Scale-III	Working Memory Index	NA	NA	NA
L-N Sequencing	85	3.0	Wechsler Adult Intelligence Scale-III	Working Memory Index	NA	NA	NA
Processing Speed Index	86	3.0	Wechsler Adult Intelligence Scale-III	Wechsler Adult Intelligence Scale-III	NA	NA	NA
Digit Symbol-Coding	87	3.0	Wechsler Adult Intelligence Scale-III	Processing Speed Index	NA	NA	NA
Symbol Search	88	3.0	Wechsler Adult Intelligence Scale-III	Processing Speed Index	NA	NA	NA
MEMORY & LEARNING	90	3.0	MEMORY & LEARNING	MEMORY & LEARNING	NA	NA	NA
Wechsler Memory Scale-IV	92	3.0	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Auditory Memory Index	93	3.0	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Logical Memory I	94	3.0	Wechsler Memory Scale-IV	Auditory Memory Index	LMI_raw	Template	3
Logical Memory I	94	3.0	Wechsler Memory Scale-IV	Auditory Memory Index	LMI_ss	Template	4
Logical Memory II	95	3.0	Wechsler Memory Scale-IV	Auditory Memory Index	LMII_raw	Template	3
Logical Memory II	95	3.0	Wechsler Memory Scale-IV	Auditory Memory Index	LMII_ss	Template	4
LM Recognition	96	3.0	Wechsler Memory Scale-IV	Auditory Memory Index	LMrec_raw	Template	3
LM Recognition	96	3.0	Wechsler Memory Scale-IV	Auditory Memory Index	LMrec_per	Template	4
Verbal Paired Associates I	97	3.0	Wechsler Memory Scale-IV	Auditory Memory Index	VPAI_raw	Template	3
Verbal Paired Associates I	97	3.0	Wechsler Memory Scale-IV	Auditory Memory Index	VPAI_ss	Template	4
Verbal Paired Associates II	98	3.0	Wechsler Memory Scale-IV	Auditory Memory Index	VPAII_raw	Template	3
Verbal Paired Associates II	98	3.0	Wechsler Memory Scale-IV	Auditory Memory Index	VPAII_ss	Template	4
VPA Recognition	99	3.0	Wechsler Memory Scale-IV	Auditory Memory Index	VPArec_raw	Template	3
VPA Recognition	99	3.0	Wechsler Memory Scale-IV	Auditory Memory Index	VPArec_perc	Template	4
Visual Memory Index	100	3.0	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Visual Reproduction I	101	3.0	Wechsler Memory Scale-IV	Visual Memory Index	VRI_raw	Template	3
Visual Reproduction I	101	3.0	Wechsler Memory Scale-IV	Visual Memory Index	VRI_ss	Template	4
Visual Reproduction II	102	3.0	Wechsler Memory Scale-IV	Visual Memory Index	VRII_raw	Template	3
Visual Reproduction II	102	3.0	Wechsler Memory Scale-IV	Visual Memory Index	VRII_ss	Template	4
VR Recognition	103	3.0	Wechsler Memory Scale-IV	Visual Memory Index	VRrec_raw	Template	3
VR Recognition	103	3.0	Wechsler Memory Scale-IV	Visual Memory Index	VRrec_per	Template	4
Designs I	104	3.0	Wechsler Memory Scale-IV	Visual Memory Index	NA	NA	NA
Designs II	105	3.0	Wechsler Memory Scale-IV	Visual Memory Index	NA	NA	NA
Designs Recognition	106	3.0	Wechsler Memory Scale-IV	Visual Memory Index	NA	NA	NA
Visual Working Memory Index	107	3.0	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Symbol Span	108	3.0	Wechsler Memory Scale-IV	Visual Working Memory Index	NA	NA	NA
Spatial Addition	109	3.0	Wechsler Memory Scale-IV	Visual Working Memory Index	NA	NA	NA
Immediate Memory Index	110	3.0	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Delayed Memory Index	111	3.0	Wechsler Memory Scale-IV	Wechsler Memory Scale-IV	NA	NA	NA
Wechsler Memory Scale-III	112	3.0	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Immediate Memory Index	113	3.0	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Auditory Immediate	114	3.0	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Visual Immediate	115	3.0	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
General Memory Index	116	3.0	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Auditory Delayed	117	3.0	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Visual Delayed	118	3.0	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Auditory Recognition Delayed	119	3.0	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Working Memory Index	120	3.0	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Auditory Memory	121	3.0	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Logical Memory I	122	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Logical Memory II	123	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Logical Memory % Retention	124	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Logical Memory Recognition	125	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Thematic I	126	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Thematic II	127	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Verbal Paired Associates I	128	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Verbal Paired Associates II	129	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
VPA Recognition	130	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
VPA % Retention	131	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Word Lists I	132	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Word Lists II	133	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Word Lists Recognition	134	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Word Lists % Retention	135	3.0	Wechsler Memory Scale-III	Auditory Memory	NA	NA	NA
Visual Memory	136	3.0	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Visual Reproduction I	137	3.0	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Visual Reproduction II	138	3.0	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Visual Reproduction % Retention	139	3.0	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Visual Reproduction Recognition	140	3.0	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Visual Reproduction Copy	141	3.0	Wechsler Memory Scale-III	Visual Memory	VRcopy_raw	Template	3
Visual Reproduction Copy	141	3.0	Wechsler Memory Scale-III	Visual Memory	VRcopy_perc	Template	4
Faces I	142	3.0	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Faces II	143	3.0	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Faces Recognition	144	3.0	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Faces % Retention	145	3.0	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Family Pictures I	146	3.0	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Family Pictures II	147	3.0	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Family Pictures Recognition	148	3.0	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Family Pictures % Retention	149	3.0	Wechsler Memory Scale-III	Visual Memory	NA	NA	NA
Working Memory	150	3.0	Wechsler Memory Scale-III	Wechsler Memory Scale-III	NA	NA	NA
Spatial Span	151	3.0	Wechsler Memory Scale-III	Working Memory	NA	NA	NA
L-N Sequencing	152	3.0	Wechsler Memory Scale-III	Working Memory	NA	NA	NA
Digit Span	153	3.0	Wechsler Memory Scale-III	Working Memory	NA	NA	NA
Mental Control	154	3.0	Wechsler Memory Scale-III	Working Memory	NA	NA	NA
Rey-Auditory Verbal Learning Task	155	3.0	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	NA	NA	NA
Sum of Trials 1-5	156	3.0	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	NA	NA	NA
Immediate Recall	157	3.0	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	NA	NA	NA
Delayed Recall	158	3.0	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	NA	NA	NA
Recognition	159	3.0	Rey-Auditory Verbal Learning Task	Rey-Auditory Verbal Learning Task	NA	NA	NA
Selective Reminding Test	160	3.0	Selective Reminding Test	Selective Reminding Test	NA	NA	NA
Long Term Storage	161	3.0	Selective Reminding Test	Selective Reminding Test	NA	NA	NA
Consistent Long Term Retrieval	162	3.0	Selective Reminding Test	Selective Reminding Test	NA	NA	NA
Delayed Recall	163	3.0	Selective Reminding Test	Selective Reminding Test	NA	NA	NA
Recognition	164	3.0	Selective Reminding Test	Selective Reminding Test	NA	NA	NA
California Verbal Learning Task-II	165	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	NA	NA	NA
Total Recall	166	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_tot_raw	Template	3
Total Recall	166	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_tot_ss	Template	4
Short Delay Free Recall	167	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_sdelayfree_raw	Template	3
Short Delay Free Recall	167	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_sdelayfree_ss	Template	4
Short Delay Cued Recall	168	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_sdelaycued_raw	Template	3
Short Delay Cued Recall	168	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_sdelaycued_ss	Template	4
Long Delay Free Recall	169	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_ldelayfree_raw	Template	3
Long Delay Free Recall	169	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_ldelayfree_ss	Template	4
Long Delay Cued Recall	170	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_ldelaycued_raw	Template	3
Long Delay Cued Recall	170	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_ldelaycued_ss	Template	4
Recognition Discriminability	171	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_recogdisc_raw	Template	3
Recognition Discriminability	171	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_recogdisc_ss	Template	4
Forced Choice Recognition	172	3.0	California Verbal Learning Task-II	California Verbal Learning Task-II	cvlt_fcrecog_perc	Template	3
Hopkins Verbal Learning Task-R	173	3.0	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	NA	NA	NA
Total Recall	174	3.0	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_tot_raw	Template	3
Total Recall	174	3.0	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_tot_ss	Template	4
Total Recall	174	3.0	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_tot_per	Template	5
Total Recall	174	3.0	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_tot_int	Template	6
Delayed Recall	175	3.0	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_delay_raw	Template	3
Delayed Recall	175	3.0	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_delay_ss	Template	4
Percent Retention	176	3.0	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_perc_raw	Template	3
Percent Retention	176	3.0	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_perc_ss	Template	4
Discrimination Index	177	3.0	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_disc_raw	Template	3
Discrimination Index	177	3.0	Hopkins Verbal Learning Task-R	Hopkins Verbal Learning Task-R	hvlt_disc_ss	Template	4
Brief Visuospatial Memory Test-R	178	3.0	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	NA	NA	NA
Total Recall	179	3.0	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	BVMT_tot_raw	Template	3
Total Recall	179	3.0	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	BVMT_tot_ss	Template	4
Delayed Recall	180	3.0	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	BVMT_delay_raw	Template	3
Delayed Recall	180	3.0	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	BVMT_delay_ss	Template	4
Discrimination Index	181	3.0	Brief Visuospatial Memory Test-R	Brief Visuospatial Memory Test-R	NA	NA	NA
HVLT/BVMT Discrepancy Total Recall	182	3.0	Brief Visuospatial Memory Test-R	HVLT/BVMT Discrepancy Total Recall	NA	NA	NA
HVLT/BVMT Discrepancy Delay Recall	183	3.0	Brief Visuospatial Memory Test-R	HVLT/BVMT Discrepancy Delay Recall	NA	NA	NA
7/24 Spatial Recall Test	184	3.0	7/24 Spatial Recall Test	7/24 Spatial Recall Test	NA	NA	NA
Immediate Recall	185	3.0	7/24 Spatial Recall Test	7/24 Spatial Recall Test	NA	NA	NA
Delayed Recall	186	3.0	7/24 Spatial Recall Test	7/24 Spatial Recall Test	NA	NA	NA
Rey-O Complex Figure Test	187	3.0	Rey-O Complex Figure Test	Rey-O Complex Figure Test	NA	NA	NA
Immediate Recall	188	3.0	Rey-O Complex Figure Test	Rey-O Complex Figure Test	NA	NA	NA
Delayed Recall	189	3.0	Rey-O Complex Figure Test	Rey-O Complex Figure Test	NA	NA	NA
Recognition	190	3.0	Rey-O Complex Figure Test	Rey-O Complex Figure Test	NA	NA	NA
Rush Object Recall Test	191	3.0	Rush Object Recall Test	Rush Object Recall Test	NA	NA	NA
Immediate Recall	192	3.0	Rush Object Recall Test	Rush Object Recall Test	NA	NA	NA
Recognition	193	3.0	Rush Object Recall Test	Rush Object Recall Test	NA	NA	NA
TOMM	194	3.0	TOMM	TOMM	NA	NA	NA
Trial 1	195	3.0	TOMM	TOMM	NA	NA	NA
Trial 2	196	3.0	TOMM	TOMM	NA	NA	NA
Trial 3	197	3.0	TOMM	TOMM	NA	NA	NA
Rey-15 Item	198	3.0	Rey-15 Item	Rey-15 Item	NA	NA	NA
Correct Sequence/Location (Rows)	199	3.0	Rey-15 Item	Correct Sequence/Location (Rows)	NA	NA	NA
Correct (Rows)	200	3.0	Rey-15 Item	Correct (Rows)	NA	NA	NA
Correct Matrix Location (Items)	201	3.0	Rey-15 Item	Correct Matrix Location (Items)	NA	NA	NA
Correct (Items)	202	3.0	Rey-15 Item	Correct (Items)	NA	NA	NA
Recognition	203	3.0	Rey-15 Item	Recognition	NA	NA	NA
Word Memory Test	204	3.0	Word Memory Test	Word Memory Test	NA	NA	NA
Immediate Recognition	205	3.0	Word Memory Test	Word Memory Test	NA	NA	NA
Delayed Recognition	206	3.0	Word Memory Test	Word Memory Test	NA	NA	NA
Consistency	207	3.0	Word Memory Test	Word Memory Test	NA	NA	NA
Multiple Choice Recognition	208	3.0	Word Memory Test	Word Memory Test	NA	NA	NA
Paired Associates	209	3.0	Word Memory Test	Word Memory Test	NA	NA	NA
Short-Delay Free Recall	210	3.0	Word Memory Test	Word Memory Test	NA	NA	NA
