test,test_no,identifier
Kaufman Assessment Battery for Children - 2 NU,1,Kaufman Assessment Battery for Children - 2 NU | Nonverbal Index | Story Completion
Kaufman Assessment Battery for Children - 2 NU,1,Kaufman Assessment Battery for Children - 2 NU | Nonverbal Index | Triangles
Kaufman Assessment Battery for Children - 2 NU,1,Kaufman Assessment Battery for Children - 2 NU | Nonverbal Index | Block Counting
Kaufman Assessment Battery for Children - 2 NU,1,Kaufman Assessment Battery for Children - 2 NU | Nonverbal Index | Pattern Reasoning
Kaufman Assessment Battery for Children - 2 NU,1,Kaufman Assessment Battery for Children - 2 NU | Nonverbal Index | Hand Movements
Kaufman Assessment Battery for Children - 2 NU,1,Kaufman Assessment Battery for Children - 2 NU | Additional tests
Kaufman Assessment Battery for Children - 2 NU,1,Kaufman Assessment Battery for Children - 2 NU | Additional tests | Number Recall
Kaufman Assessment Battery for Children - 2 NU,1,Kaufman Assessment Battery for Children - 2 NU | Additional tests | Rebus
Kaufman Assessment Battery for Children - 2 NU,1,Kaufman Assessment Battery for Children - 2 NU | Additional tests | Block Counting
Kaufman Assessment Battery for Children - 2 NU,1,Kaufman Assessment Battery for Children - 2 NU | Additional tests | Word Order
Kaufman Assessment Battery for Children - 2 NU,1,Kaufman Assessment Battery for Children - 2 NU | Additional tests | Rebus Delayed
Kaufman Assessment Battery for Children - 2 NU,1,Kaufman Assessment Battery for Children - 2 NU | Additional tests | Riddles
Mullen Scales of Early Learning,1,Mullen Scales of Early Learning
Mullen Scales of Early Learning,1,Mullen Scales of Early Learning | Early Learning Composite
Mullen Scales of Early Learning,1,Mullen Scales of Early Learning | Early Learning Composite | Gross Motor
Mullen Scales of Early Learning,1,Mullen Scales of Early Learning | Early Learning Composite | Visual Reception
Mullen Scales of Early Learning,1,Mullen Scales of Early Learning | Early Learning Composite | Fine Motor
Mullen Scales of Early Learning,1,Mullen Scales of Early Learning | Early Learning Composite | Receptive Language
Mullen Scales of Early Learning,1,Mullen Scales of Early Learning | Early Learning Composite | Expressive Language
Stanford-Binet-5 (Abbreviated),1,Stanford-Binet-5 (Abbreviated)
Stanford-Binet-5 (Abbreviated),1,Stanford-Binet-5 (Abbreviated) | Abbreviated IQ
Stanford-Binet-5 (Abbreviated),1,Stanford-Binet-5 (Abbreviated) | Abbreviated IQ | Nonverbal Domain
Stanford-Binet-5 (Abbreviated),1,Stanford-Binet-5 (Abbreviated) | Abbreviated IQ | Nonverbal Domain | Fluid Reasoning
Stanford-Binet-5 (Abbreviated),1,Stanford-Binet-5 (Abbreviated) | Abbreviated IQ | Verbal Domain
Stanford-Binet-5 (Abbreviated),1,Stanford-Binet-5 (Abbreviated) | Abbreviated IQ | Verbal Domain | Knowledge
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full)
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Verbal IQ
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Nonverbal IQ
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Full Scale IQ
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Abbreviated IQ
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Fluid Reasoning Index
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Fluid Reasoning Index | Nonverbal Scale
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Fluid Reasoning Index | Verbal Scale
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Knowledge Index
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Knowledge Index | Nonverbal Scale
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Knowledge Index | Verbal Scale
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Quantitative Reasoning Index
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Quantitative Reasoning Index | Nonverbal Scale
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Quantitative Reasoning Index | Verbal Scale
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Visuospatial Processing Index
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Visuospatial Processing Index | Nonverbal Scale
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Visuospatial Processing Index | Verbal Scale
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Working Memory
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Working Memory | Nonverbal Scale
Stanford-Binet-5 (Full),1,Stanford-Binet-5 (Full) | Working Memory | Verbal Scale
Bayley Scales of Infant & Toddler Development-3rd Ed.,1,Bayley Scales of Infant & Toddler Development-3rd Ed.
Bayley Scales of Infant & Toddler Development-3rd Ed.,1,Bayley Scales of Infant & Toddler Development-3rd Ed. | Cognitive
Bayley Scales of Infant & Toddler Development-3rd Ed.,1,Bayley Scales of Infant & Toddler Development-3rd Ed. | Language
Bayley Scales of Infant & Toddler Development-3rd Ed.,1,Bayley Scales of Infant & Toddler Development-3rd Ed. | Language | Receptive Communication
Bayley Scales of Infant & Toddler Development-3rd Ed.,1,Bayley Scales of Infant & Toddler Development-3rd Ed. | Language | Expressive Communication
Bayley Scales of Infant & Toddler Development-3rd Ed.,1,Bayley Scales of Infant & Toddler Development-3rd Ed. | Motor
Bayley Scales of Infant & Toddler Development-3rd Ed.,1,Bayley Scales of Infant & Toddler Development-3rd Ed. | Motor | Fine Motor
Bayley Scales of Infant & Toddler Development-3rd Ed.,1,Bayley Scales of Infant & Toddler Development-3rd Ed. | Motor | Gross Motor
RBANS-Update,1,RBANS-Update
RBANS-Update,1,RBANS-Update | Total Scale
RBANS-Update,1,RBANS-Update | Immediate Memory
RBANS-Update,1,RBANS-Update | Immediate Memory | List Learning
RBANS-Update,1,RBANS-Update | Immediate Memory | Story Memory
RBANS-Update,1,RBANS-Update | Visuospatial/Constructional
RBANS-Update,1,RBANS-Update | Visuospatial/Constructional | Figure Copy
RBANS-Update,1,RBANS-Update | Visuospatial/Constructional | Line Orientation
RBANS-Update,1,RBANS-Update | Language
RBANS-Update,1,RBANS-Update | Language | Picture Naming
RBANS-Update,1,RBANS-Update | Language | Semantic Fluency
RBANS-Update,1,RBANS-Update | Attention
RBANS-Update,1,RBANS-Update | Attention | Digit Span
RBANS-Update,1,RBANS-Update | Attention | Coding
RBANS-Update,1,RBANS-Update | Delayed Memory
RBANS-Update,1,RBANS-Update | Delayed Memory | List Recall
RBANS-Update,1,RBANS-Update | Delayed Memory | List Recognition
RBANS-Update,1,RBANS-Update | Delayed Memory | Story Recall
RBANS-Update,1,RBANS-Update | Delayed Memory | Figure Recall
MOTOR EXAMINATION,1,MOTOR EXAMINATION
Finger Tapping,1,Finger Tapping
Finger Tapping,1,Finger Tapping | Dominant Hand
Finger Tapping,1,Finger Tapping | Non-dominant Hand
Grooved Pegboard,1,Grooved Pegboard
Grooved Pegboard,1,Grooved Pegboard | Trial 1
Grooved Pegboard,1,Grooved Pegboard | Trial 1 | Dominant Hand
Grooved Pegboard,1,Grooved Pegboard | Trial 1 | Non-dominant Hand
Grooved Pegboard,1,Grooved Pegboard | Trial 2
Grooved Pegboard,1,Grooved Pegboard | Trial 2 | Dominant Hand
Grooved Pegboard,1,Grooved Pegboard | Trial 2 | Non-dominant Hand
Grip Strength,1,Grip Strength
Grip Strength,1,Grip Strength | Dominant Hand
Grip Strength,1,Grip Strength | Non-dominant Hand
Purdue Pegboard,1,Purdue Pegboard
Purdue Pegboard,1,Purdue Pegboard | Preferred Hand
Purdue Pegboard,1,Purdue Pegboard | Non Preferred Hand
Purdue Pegboard,1,Purdue Pegboard | Both Hands
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Fingertip Tapping
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Fingertip Tapping | DH Repetitions Completion Time
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Fingertip Tapping | DH Sequences Completion Time
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Fingertip Tapping | Dominant Hand Combined Score
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Fingertip Tapping | NH Repetitions Completion Time
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Fingertip Tapping | NH Sequences Completion Time
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Fingertip Tapping | Non-dominant Hand Combined Score
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Fingertip Tapping | Repetitions Combined Score
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Fingertip Tapping | Sequences Combined Score
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Imitating Hand Positions
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Imitating Hand Positions | Total Score
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Imitating Hand Positions | Dominant Hand Score
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Imitating Hand Positions | Non-dominant Hand Score
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Visuomotor Precision
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Visuomotor Precision | Total Completion Time
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Visuomotor Precision | Total Errors
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Visuomotor Precision | Combined Scaled Score
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Visuomotor Precision | Total Pencil Lifts
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Developmental Test of Motor Coordination
NEPSY-II Sensory-Motor Domain,1,NEPSY-II Sensory-Motor Domain | Developmental Test of Motor Coordination | Total Score
SENSORY-PERCEPTUAL EXAMINATION,1,SENSORY-PERCEPTUAL EXAMINATION
Finger Agnosia (1-2-3-4-5),1,Finger Agnosia (1-2-3-4-5)
Finger Agnosia (1-2-3-4-5),1,Finger Agnosia (1-2-3-4-5) | Right Hand (errors)
Finger Agnosia (1-2-3-4-5),1,Finger Agnosia (1-2-3-4-5) | Left Hand (errors)
Graphesthesia (X-O),1,Graphesthesia (X-O)
Graphesthesia (X-O),1,Graphesthesia (X-O) | Right Hand (errors)
Graphesthesia (X-O),1,Graphesthesia (X-O) | Left Hand (errors)
Graphesthesia (3-4-5-6),1,Graphesthesia (3-4-5-6)
Graphesthesia (3-4-5-6),1,Graphesthesia (3-4-5-6) | Right Hand (errors)
Graphesthesia (3-4-5-6),1,Graphesthesia (3-4-5-6) | Left Hand (errors)
ATTENTION & IMPULSE CONTROL,1,ATTENTION & IMPULSE CONTROL
Gordon Diagnostic System,1,Gordon Diagnostic System
Gordon Diagnostic System,1,Gordon Diagnostic System | Vigilance Task
Gordon Diagnostic System,1,Gordon Diagnostic System | Vigilance Task | Total Correct
Gordon Diagnostic System,1,Gordon Diagnostic System | Vigilance Task | Commission Errors
Gordon Diagnostic System,2,Gordon Diagnostic System
Gordon Diagnostic System,2,Gordon Diagnostic System | Vigilance Task
Gordon Diagnostic System,2,Gordon Diagnostic System | Vigilance Task | Total Correct
Gordon Diagnostic System,2,Gordon Diagnostic System | Vigilance Task | Commission Errors
Restricted Academic Task,1,Restricted Academic Task
Restricted Academic Task,1,Restricted Academic Task | Off-Task
Restricted Academic Task,1,Restricted Academic Task | Fidgeting
Restricted Academic Task,1,Restricted Academic Task | Vocalizing
Restricted Academic Task,1,Restricted Academic Task | Playing with Objects
Restricted Academic Task,1,Restricted Academic Task | Out of Seat
Conner's Continuous Performance Test-3,1,Conner's Continuous Performance Test-3
Conner's Continuous Performance Test-3,1,Conner's Continuous Performance Test-3 | Detectability
Conner's Continuous Performance Test-3,1,Conner's Continuous Performance Test-3 | Omissions
Conner's Continuous Performance Test-3,1,Conner's Continuous Performance Test-3 | Commissions
Conner's Continuous Performance Test-3,1,Conner's Continuous Performance Test-3 | Perseverations
Conner's Continuous Performance Test-3,1,Conner's Continuous Performance Test-3 | Hit Reaction Time
Conner's Continuous Performance Test-3,1,Conner's Continuous Performance Test-3 | Hit Reaction Time Standard Deviation
Conner's Continuous Performance Test-3,1,Conner's Continuous Performance Test-3 | Variability
Conner's Continuous Performance Test-3,1,Conner's Continuous Performance Test-3 | Hit Reaction Time Block Change
Conner's Continuous Performance Test-3,1,Conner's Continuous Performance Test-3 | Hit Reaction Time ISI Change
Conner's Continuous Performance Test-3,2,Conner's Continuous Performance Test-3
Conner's Continuous Performance Test-3,2,Conner's Continuous Performance Test-3 | Detectability
Conner's Continuous Performance Test-3,2,Conner's Continuous Performance Test-3 | Omissions
Conner's Continuous Performance Test-3,2,Conner's Continuous Performance Test-3 | Commissions
Conner's Continuous Performance Test-3,2,Conner's Continuous Performance Test-3 | Perseverations
Conner's Continuous Performance Test-3,2,Conner's Continuous Performance Test-3 | Hit Reaction Time
Conner's Continuous Performance Test-3,2,Conner's Continuous Performance Test-3 | Hit Reaction Time Standard Deviation
Conner's Continuous Performance Test-3,2,Conner's Continuous Performance Test-3 | Variability
Conner's Continuous Performance Test-3,2,Conner's Continuous Performance Test-3 | Hit Reaction Time Block Change
Conner's Continuous Performance Test-3,2,Conner's Continuous Performance Test-3 | Hit Reaction Time ISI Change
Conner's Kiddie Performance Test-2,1,Conner's Kiddie Performance Test-2
Conner's Kiddie Performance Test-2,1,Conner's Kiddie Performance Test-2 | Detectability
Conner's Kiddie Performance Test-2,1,Conner's Kiddie Performance Test-2 | Omissions
Conner's Kiddie Performance Test-2,1,Conner's Kiddie Performance Test-2 | Commissions
Conner's Kiddie Performance Test-2,1,Conner's Kiddie Performance Test-2 | Perseverations
Conner's Kiddie Performance Test-2,1,Conner's Kiddie Performance Test-2 | Hit Reaction Time
Conner's Kiddie Performance Test-2,1,Conner's Kiddie Performance Test-2 | Hit Reaction Time Standard Deviation
Conner's Kiddie Performance Test-2,1,Conner's Kiddie Performance Test-2 | Variability
Conner's Kiddie Performance Test-2,1,Conner's Kiddie Performance Test-2 | Hit Reaction Time Block Change
Conner's Kiddie Performance Test-2,1,Conner's Kiddie Performance Test-2 | Hit Reaction Time ISI Change
Conner's Kiddie Performance Test-2,2,Conner's Kiddie Performance Test-2
Conner's Kiddie Performance Test-2,2,Conner's Kiddie Performance Test-2 | Detectability
Conner's Kiddie Performance Test-2,2,Conner's Kiddie Performance Test-2 | Omissions
Conner's Kiddie Performance Test-2,2,Conner's Kiddie Performance Test-2 | Commissions
Conner's Kiddie Performance Test-2,2,Conner's Kiddie Performance Test-2 | Perseverations
Conner's Kiddie Performance Test-2,2,Conner's Kiddie Performance Test-2 | Hit Reaction Time
Conner's Kiddie Performance Test-2,2,Conner's Kiddie Performance Test-2 | Hit Reaction Time Standard Deviation
Conner's Kiddie Performance Test-2,2,Conner's Kiddie Performance Test-2 | Variability
Conner's Kiddie Performance Test-2,2,Conner's Kiddie Performance Test-2 | Hit Reaction Time Block Change
Conner's Kiddie Performance Test-2,2,Conner's Kiddie Performance Test-2 | Hit Reaction Time ISI Change
EXECUTIVE FUNCTIONING,1,EXECUTIVE FUNCTIONING
Trail Making Test,1,Trail Making Test
Trail Making Test,1,Trail Making Test | Part - A
Trail Making Test,1,Trail Making Test | Part - B
Wisconsin Card Sorting Test,1,Wisconsin Card Sorting Test
Wisconsin Card Sorting Test,1,Wisconsin Card Sorting Test | Categories Completed
Wisconsin Card Sorting Test,1,Wisconsin Card Sorting Test | Total Errors
Wisconsin Card Sorting Test,1,Wisconsin Card Sorting Test | Perseverative Responses
Wisconsin Card Sorting Test,1,Wisconsin Card Sorting Test | Perseverative Errors
Wisconsin Card Sorting Test,1,Wisconsin Card Sorting Test | Non-perseverative Errors
Wisconsin Card Sorting Test,1,Wisconsin Card Sorting Test | Conceptual Level Responses
Wisconsin Card Sorting Test,1,Wisconsin Card Sorting Test | Failure to Maintain Set
Tower of London DX - 2nd Edition,1,Tower of London DX - 2nd Edition
Tower of London DX - 2nd Edition,1,Tower of London DX - 2nd Edition | Total Move Score
Tower of London DX - 2nd Edition,1,Tower of London DX - 2nd Edition | Total Correct Score
Tower of London DX - 2nd Edition,1,Tower of London DX - 2nd Edition | Total Rule Violation Score
Tower of London DX - 2nd Edition,1,Tower of London DX - 2nd Edition | Total Time Violation Score
Tower of London DX - 2nd Edition,1,Tower of London DX - 2nd Edition | Total Initiation Time
Tower of London DX - 2nd Edition,1,Tower of London DX - 2nd Edition | Total Execution Time
Tower of London DX - 2nd Edition,1,Tower of London DX - 2nd Edition | Total Problem-Solving Time
D-KEFS Trail Making Test,1,D-KEFS Trail Making Test
D-KEFS Trail Making Test,1,D-KEFS Trail Making Test | Visual Scanning
D-KEFS Trail Making Test,1,D-KEFS Trail Making Test | Number Sequencing
D-KEFS Trail Making Test,1,D-KEFS Trail Making Test | Letter Sequencing
D-KEFS Trail Making Test,1,D-KEFS Trail Making Test | Number-Letter Switching
D-KEFS Trail Making Test,1,D-KEFS Trail Making Test | Motor Speed
D-KEFS Verbal Fluency,1,D-KEFS Verbal Fluency
D-KEFS Verbal Fluency,1,D-KEFS Verbal Fluency | Letter Fluency Total Correct
D-KEFS Verbal Fluency,1,D-KEFS Verbal Fluency | Category Fluency Total Correct
D-KEFS Verbal Fluency,1,D-KEFS Verbal Fluency | Category Switching Total Correct
D-KEFS Verbal Fluency,1,D-KEFS Verbal Fluency | Category Switching Total Accuracy
D-KEFS Design Fluency,1,D-KEFS Design Fluency
D-KEFS Design Fluency,1,D-KEFS Design Fluency | Filled Dots Total Correct
D-KEFS Design Fluency,1,D-KEFS Design Fluency | Empty Dots Only Total Correct
D-KEFS Design Fluency,1,D-KEFS Design Fluency | Switching Total Correct
D-KEFS Tower Test,1,D-KEFS Tower Test
D-KEFS Tower Test,1,D-KEFS Tower Test | Total Achievement Score
D-KEFS Tower Test,1,D-KEFS Tower Test | Mean First-Move Time
D-KEFS Tower Test,1,D-KEFS Tower Test | Time-Per-Move Ratio
D-KEFS Tower Test,1,D-KEFS Tower Test | Move Accuracy Ratio
D-KEFS Tower Test,1,D-KEFS Tower Test | Total Rule Violations
D-KEFS Tower Test,1,D-KEFS Tower Test | Rule Violations-Per-Item Ratio
D-KEFS Color-Word Interference,1,D-KEFS Color-Word Interference
D-KEFS Color-Word Interference,1,D-KEFS Color-Word Interference | Color Naming
D-KEFS Color-Word Interference,1,D-KEFS Color-Word Interference | Word Reading
D-KEFS Color-Word Interference,1,D-KEFS Color-Word Interference | Inhibition
D-KEFS Color-Word Interference,1,D-KEFS Color-Word Interference | Inhibition | Total Errors
D-KEFS Color-Word Interference,1,D-KEFS Color-Word Interference | Inhibition/Switching
D-KEFS Color-Word Interference,1,D-KEFS Color-Word Interference | Inhibition/Switching | Total Errors
D-KEFS 20 Questions,1,D-KEFS 20 Questions
D-KEFS 20 Questions,1,D-KEFS 20 Questions | Initial Abstraction Score
D-KEFS 20 Questions,1,D-KEFS 20 Questions | Total Questions Asked
D-KEFS 20 Questions,1,D-KEFS 20 Questions | Total Weighted Achievement Score
D-KEFS Sorting,1,D-KEFS Sorting
D-KEFS Sorting,1,D-KEFS Sorting | Confirmed Correct Sorts
D-KEFS Sorting,1,D-KEFS Sorting | Free Sorting Description Score
D-KEFS Sorting,1,D-KEFS Sorting | Sort Recognition Description Score
NEPSY Attention/Executive Domain,1,NEPSY Attention/Executive Domain
NEPSY Attention/Executive Domain,1,NEPSY Attention/Executive Domain | Visual Attention
NEPSY Attention/Executive Domain,1,NEPSY Attention/Executive Domain | Visual Attention | Bunnies
NEPSY Attention/Executive Domain,1,NEPSY Attention/Executive Domain | Visual Attention | Bunnies | Time
NEPSY Attention/Executive Domain,1,NEPSY Attention/Executive Domain | Visual Attention | Bunnies | Omissions
NEPSY Attention/Executive Domain,1,NEPSY Attention/Executive Domain | Visual Attention | Bunnies | Commissions
NEPSY Attention/Executive Domain,1,NEPSY Attention/Executive Domain | Visual Attention | Cats
NEPSY Attention/Executive Domain,1,NEPSY Attention/Executive Domain | Visual Attention | Cats | Time
NEPSY Attention/Executive Domain,1,NEPSY Attention/Executive Domain | Visual Attention | Cats | Omissions
NEPSY Attention/Executive Domain,1,NEPSY Attention/Executive Domain | Visual Attention | Cats | Commissions
(Ages 5+ ENTER BELOW),1,(Ages 5+ ENTER BELOW)
(Ages 5+ ENTER BELOW),1,(Ages 5+ ENTER BELOW) | Cats
(Ages 5+ ENTER BELOW),1,(Ages 5+ ENTER BELOW) | Cats | Time
(Ages 5+ ENTER BELOW),1,(Ages 5+ ENTER BELOW) | Cats | Omissions
(Ages 5+ ENTER BELOW),1,(Ages 5+ ENTER BELOW) | Cats | Commissions
(Ages 5+ ENTER BELOW),1,(Ages 5+ ENTER BELOW) | Faces
(Ages 5+ ENTER BELOW),1,(Ages 5+ ENTER BELOW) | Faces | Time
(Ages 5+ ENTER BELOW),1,(Ages 5+ ENTER BELOW) | Faces | Omissions
(Ages 5+ ENTER BELOW),1,(Ages 5+ ENTER BELOW) | Faces | Commissions
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Auditory Attention
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Auditory Attention | Total Correct
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Auditory Attention | Commission Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Auditory Attention | Combined Score
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Auditory Attention | Omission Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Auditory Attention | Inhibitory Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Response Set
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Response Set | Total Correct
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Response Set | Commission Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Response Set | Combined Score
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Response Set | Omission Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Response Set | Inhibitory Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Total Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Naming Total Completion Time
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Naming Total Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Naming Combined Score
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Naming Total Uncorrected Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Naming Total Self-Corrected Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Inhibition Total Completion Time
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Inhibition Total Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Inhibition Combined Score
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Inhibition Total Uncorrected Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Inhibition Total Self-Corrected Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Switching Total Completion Time
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Switching Total Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Switching Combined Score
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Switching Total Uncorrected Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Inhibition | Switching Total Self-Corrected Errors
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Statue
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Statue | Total Score
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Statue | Body Movement
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Statue | Eye Opening
NEPSY-II Attention & Executive Functioning Domain,1,NEPSY-II Attention & Executive Functioning Domain | Statue | Vocalization
Poker Chip Sorting Task,1,Poker Chip Sorting Task
Poker Chip Sorting Task,1,Poker Chip Sorting Task | Total Number of Beads Sorted
Poker Chip Sorting Task,1,Poker Chip Sorting Task | Total Time on Task; Sorting Correctly
Poker Chip Sorting Task,1,Poker Chip Sorting Task | Total Time on Task; Not Sorting Correctly
Poker Chip Sorting Task,1,Poker Chip Sorting Task | Total Time off Task Slightly
Poker Chip Sorting Task,1,Poker Chip Sorting Task | Total Time off Task Completely
Poker Chip Sorting Task,1,Poker Chip Sorting Task | Total Time Incomplete
Symbol Digit Modalities Test,1,Symbol Digit Modalities Test
Symbol Digit Modalities Test,1,Symbol Digit Modalities Test | Written
Symbol Digit Modalities Test,1,Symbol Digit Modalities Test | Oral Re-Test
Symbol Digit Modalities Test,1,Symbol Digit Modalities Test | Oral Only
Luria’s Tapping Test,1,Luria’s Tapping Test
A not B,1,A not B
A not B,1,A not B | Total Correct
A not B,1,A not B | Correct Consecutive
A not B,1,A not B | Perseverations
Delayed Alternation,1,Delayed Alternation
Delayed Alternation,1,Delayed Alternation | Total Correct
Delayed Alternation,1,Delayed Alternation | Correct Consecutive
Delayed Alternation,1,Delayed Alternation | Total Incorrect
VSVT,1,VSVT
VSVT,1,VSVT | Easy Correct
VSVT,1,VSVT | Difficult Correct
VSVT,1,VSVT | Total Correct
VSVT,1,VSVT | Easy Latency Response
VSVT,1,VSVT | Difficult Latency Response
VSVT,1,VSVT | Total Latency Response
K-ABC 2,1,K-ABC 2
K-ABC 2,1,K-ABC 2 | Rover
Automatized Sequences,1,Automatized Sequences
Automatized Sequences,1,Automatized Sequences | Total Time
Automatized Sequences,1,Automatized Sequences | Task 1 Time
Automatized Sequences,1,Automatized Sequences | Task 2 Time
Automatized Sequences,1,Automatized Sequences | Task 3 Time
Automatized Sequences,1,Automatized Sequences | Task 4 Time
SOCIAL PERCEPTION,1,SOCIAL PERCEPTION
NEPSY-II Social Perception Domain,1,NEPSY-II Social Perception Domain
NEPSY-II Social Perception Domain,1,NEPSY-II Social Perception Domain | Affect Recognition
NEPSY-II Social Perception Domain,1,NEPSY-II Social Perception Domain | Affect Recognition | Total Score
NEPSY-II Social Perception Domain,1,NEPSY-II Social Perception Domain | Affect Recognition | Happy Errors
