measure	row	version	bold_header	indent_header	worksheet	redcap	column
Vigilance Task	319	3.0u1.30	Gordon Diagnostic System	Gordon Diagnostic System	Template	NA	NA
Correct (Block 1+2)	320	3.0u1.30	Gordon Diagnostic System	Vigilance Task	Template	NA	NA
Commissions (Block 1+2)	321	3.0u1.30	Gordon Diagnostic System	Vigilance Task	Template	NA	NA
Distractibility Task	322	3.0u1.30	Gordon Diagnostic System	Gordon Diagnostic System	Template	NA	NA
Correct (Block 1+2)	323	3.0u1.30	Gordon Diagnostic System	Distractibility Task	Template	NA	NA
Commissions (Block 1+2)	324	3.0u1.30	Gordon Diagnostic System	Distractibility Task	Template	NA	NA
Conner's CPT-II	325	3.0u1.30	Conner's CPT-II	Conner's CPT-II	Template	NA	NA
ADHD Clinical Confidence Index	326	3.0u1.30	Conner's CPT-II	Conner's CPT-II	Template	NA	NA
Neurological Clinical Confidence Index	327	3.0u1.30	Conner's CPT-II	Conner's CPT-II	Template	NA	NA
Omissions	328	3.0u1.30	Conner's CPT-II	Conner's CPT-II	Template	NA	NA
Commissions	329	3.0u1.30	Conner's CPT-II	Conner's CPT-II	Template	NA	NA
Hit Reaction Time	330	3.0u1.30	Conner's CPT-II	Conner's CPT-II	Template	NA	NA
Variability	331	3.0u1.30	Conner's CPT-II	Conner's CPT-II	Template	NA	NA
Conner's CPT-3	332	3.0u1.30	Conner's CPT-3	Conner's CPT-3	Template	NA	NA
Detectability (d')	333	3.0u1.30	Conner's CPT-3	Conner's CPT-3	Template	cpt3_disc_ss	3
Omissions	334	3.0u1.30	Conner's CPT-3	Conner's CPT-3	Template	cpt3_omis_ss	3
Commissions	335	3.0u1.30	Conner's CPT-3	Conner's CPT-3	Template	cpt3_comis_ss	3
Perseverations	336	3.0u1.30	Conner's CPT-3	Conner's CPT-3	Template	cpt3_per_ss	3
HRT	337	3.0u1.30	Conner's CPT-3	Conner's CPT-3	Template	cpt3_hrt_ss	4
HRT SD	338	3.0u1.30	Conner's CPT-3	Conner's CPT-3	Template	cpt3_hrtsd_ss	4
Variability	339	3.0u1.30	Conner's CPT-3	Conner's CPT-3	Template	cpt3_var_ss	3
HRT Block Change	340	3.0u1.30	Conner's CPT-3	Conner's CPT-3	Template	cpt3_hrtbc_ss	3
HRT ISI Change	341	3.0u1.30	Conner's CPT-3	Conner's CPT-3	Template	cpt3_hrtisi_ss	3
Cancellation Tasks	342	3.0u1.30	Cancellation Tasks	Cancellation Tasks	Template	NA	NA
Omissions	343	3.0u1.30	Cancellation Tasks	Cancellation Tasks	Template	NA	NA
Commissions	344	3.0u1.30	Cancellation Tasks	Cancellation Tasks	Template	NA	NA
Completion Time	345	3.0u1.30	Cancellation Tasks	Cancellation Tasks	Template	NA	NA
EXECUTIVE FUNCTIONING	347	3.0u1.30	EXECUTIVE FUNCTIONING	EXECUTIVE FUNCTIONING	Template	NA	NA
COWAT	349	3.0u1.30	COWAT	COWAT	Template	NA	NA
FAS	350	3.0u1.30	FAS	FAS	Template	NA	NA
Animal Naming	351	3.0u1.30	Animal Naming	Animal Naming	Template	NA	NA
Trail Making Test: Part-A	352	3.0u1.30	Trail Making Test: Part-A	Trail Making Test: Part-A	Template	trailsa_err	6
Trail Making Test: Part-A	352	3.0u1.30	Trail Making Test: Part-A	Trail Making Test: Part-A	Template	trailsa_raw	3
Trail Making Test: Part-A	352	3.0u1.30	Trail Making Test: Part-A	Trail Making Test: Part-A	Template	trailsa_ss	4
Trail Making Test: Part-B	353	3.0u1.30	Trail Making Test: Part-B	Trail Making Test: Part-B	Template	trailsb_err	6
Trail Making Test: Part-B	353	3.0u1.30	Trail Making Test: Part-B	Trail Making Test: Part-B	Template	trailsb_raw	3
Trail Making Test: Part-B	353	3.0u1.30	Trail Making Test: Part-B	Trail Making Test: Part-B	Template	trailsb_ss	4
Trail Making Test: Part-A (Oral)	354	3.0u1.30	Trail Making Test: Part-A (Oral)	Trail Making Test: Part-A (Oral)	Template	NA	NA
Trail Making Test: Part-B (Oral)	355	3.0u1.30	Trail Making Test: Part-B (Oral)	Trail Making Test: Part-B (Oral)	Template	NA	NA
Wisconsin Card Sorting Test	356	3.0u1.30	Wisconsin Card Sorting Test	Wisconsin Card Sorting Test	Template	NA	NA
Categories Completed	357	3.0u1.30	Wisconsin Card Sorting Test	Wisconsin Card Sorting Test	Template	wcst_cat_perc	5
Categories Completed	357	3.0u1.30	Wisconsin Card Sorting Test	Wisconsin Card Sorting Test	Template	wcst_cat_raw	3
Failures to Maintain Set	358	3.0u1.30	Wisconsin Card Sorting Test	Wisconsin Card Sorting Test	Template	wcst_fms_perc	5
Failures to Maintain Set	358	3.0u1.30	Wisconsin Card Sorting Test	Wisconsin Card Sorting Test	Template	wcst_fms_raw	3
Total Errors	359	3.0u1.30	Wisconsin Card Sorting Test	Wisconsin Card Sorting Test	Template	wcst_err_raw	3
Total Errors	359	3.0u1.30	Wisconsin Card Sorting Test	Wisconsin Card Sorting Test	Template	wcst_err_ss	4
Perseverative Responses	360	3.0u1.30	Wisconsin Card Sorting Test	Wisconsin Card Sorting Test	Template	wcst_per_raw	3
Perseverative Responses	360	3.0u1.30	Wisconsin Card Sorting Test	Wisconsin Card Sorting Test	Template	wcst_per_ss	4
DKEFS - Trail Making	361	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	NA	NA
Visual Scanning	362	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	dkefstrails_vis_scan_raw	3
Visual Scanning	362	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	dkefstrails_vis_scan_ss	4
Number Sequencing	363	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	dkefstrails_num_seq_raw	3
Number Sequencing	363	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	dkefstrails_num_seq_ss	4
Letter Sequencing	364	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	dkefstrails_let_seq_raw	3
Letter Sequencing	364	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	dkefstrails_let_seq_ss	4
Number-Letter Switching	365	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	dkefstrails_switch_raw	3
Number-Letter Switching	365	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	dkefstrails_switch_ss	4
Total Errors	366	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	dkefstrails_errors_raw	3
Total Errors	366	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	dkefstrails_errors_ss	4
Motor Speed	367	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	dkefstrails_mot_speed_raw	3
Motor Speed	367	3.0u1.30	DKEFS - Trail Making	DKEFS - Trail Making	Template	dkefstrails_mot_speed_ss	4
DKFES - Verbal Fluency	368	3.0u1.30	DKFES - Verbal Fluency	DKFES - Verbal Fluency	Template	NA	NA
Letter Fluency	369	3.0u1.30	DKFES - Verbal Fluency	DKFES - Verbal Fluency	Template	NA	NA
Category Fluency	370	3.0u1.30	DKFES - Verbal Fluency	DKFES - Verbal Fluency	Template	NA	NA
Switching Fluency	371	3.0u1.30	DKFES - Verbal Fluency	DKFES - Verbal Fluency	Template	NA	NA
Switching Accuracy	372	3.0u1.30	DKFES - Verbal Fluency	DKFES - Verbal Fluency	Template	NA	NA
DKEFS - Design Fluency	373	3.0u1.30	DKEFS - Design Fluency	DKEFS - Design Fluency	Template	NA	NA
Filled Dots	374	3.0u1.30	DKEFS - Design Fluency	DKEFS - Design Fluency	Template	NA	NA
Empty Dots	375	3.0u1.30	DKEFS - Design Fluency	DKEFS - Design Fluency	Template	NA	NA
Switching	376	3.0u1.30	DKEFS - Design Fluency	DKEFS - Design Fluency	Template	NA	NA
Total Repetitions	377	3.0u1.30	DKEFS - Design Fluency	DKEFS - Design Fluency	Template	NA	NA
DKEFS - C/W Interference	378	3.0u1.30	DKEFS - C/W Interference	DKEFS - C/W Interference	Template	NA	NA
Color Naming	379	3.0u1.30	DKEFS - C/W Interference	DKEFS - C/W Interference	Template	NA	NA
Word Reading	380	3.0u1.30	DKEFS - C/W Interference	DKEFS - C/W Interference	Template	NA	NA
Inhibition	381	3.0u1.30	DKEFS - C/W Interference	DKEFS - C/W Interference	Template	NA	NA
Inhibition/Switching	382	3.0u1.30	DKEFS - C/W Interference	DKEFS - C/W Interference	Template	NA	NA
Inhibition/Switching Errors	383	3.0u1.30	DKEFS - C/W Interference	DKEFS - C/W Interference	Template	NA	NA
DKEFS - Sorting	384	3.0u1.30	DKEFS - Sorting	DKEFS - Sorting	Template	NA	NA
Confirmed Correct Sorts	385	3.0u1.30	DKEFS - Sorting	DKEFS - Sorting	Template	NA	NA
Free Sorting Description	386	3.0u1.30	DKEFS - Sorting	DKEFS - Sorting	Template	NA	NA
Repeated Sorts	387	3.0u1.30	DKEFS - Sorting	DKEFS - Sorting	Template	NA	NA
Set-Loss Sorts	388	3.0u1.30	DKEFS - Sorting	DKEFS - Sorting	Template	NA	NA
DKEFS - 20 Questions	389	3.0u1.30	DKEFS - 20 Questions	DKEFS - 20 Questions	Template	NA	NA
Initial Abstraction	390	3.0u1.30	DKEFS - 20 Questions	DKEFS - 20 Questions	Template	NA	NA
Total Questions Asked	391	3.0u1.30	DKEFS - 20 Questions	DKEFS - 20 Questions	Template	NA	NA
Weighted Achievement	392	3.0u1.30	DKEFS - 20 Questions	DKEFS - 20 Questions	Template	NA	NA
Repeated Questions	393	3.0u1.30	DKEFS - 20 Questions	DKEFS - 20 Questions	Template	NA	NA
Set-Loss Questions	394	3.0u1.30	DKEFS - 20 Questions	DKEFS - 20 Questions	Template	NA	NA
DKEFS - Proverbs	395	3.0u1.30	DKEFS - Proverbs	DKEFS - Proverbs	Template	NA	NA
Achievement: Free Inquiry	396	3.0u1.30	DKEFS - Proverbs	DKEFS - Proverbs	Template	NA	NA
Accuracy Only Score	397	3.0u1.30	DKEFS - Proverbs	DKEFS - Proverbs	Template	NA	NA
Abstraction Only Score	398	3.0u1.30	DKEFS - Proverbs	DKEFS - Proverbs	Template	NA	NA
DKEFS - Tower	399	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	NA	NA
Achievement Score	400	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	dkefstower_ach_score_raw	3
Achievement Score	400	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	dkefstower_ach_score_ss	4
Mean First Move Time	401	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	dkefstower_mean1move_raw	3
Mean First Move Time	401	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	dkefstower_mean1move_ss	4
Time / Move Ratio	402	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	dkefstower_timepermove_raw	3
Time / Move Ratio	402	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	dkefstower_timepermove_ss	4
Move Accuracy Ratio	403	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	dkefstower_move_acc_raw	3
Move Accuracy Ratio	403	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	dkefstower_move_acc_ss	4
Rule-Violation / Item Ratio	404	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	dkefstower_rule_viol_raw	3
Rule-Violation / Item Ratio	404	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	dkefstower_rule_viol_ss	4
Total Rule Violations	405	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	dkefstower_tot_rvs_perc	5
Total Rule Violations	405	3.0u1.30	DKEFS - Tower	DKEFS - Tower	Template	dkefstower_tot_rvs_raw	3
Short Category Test	406	3.0u1.30	Short Category Test	Short Category Test	Template	NA	NA
Tapping Set	407	3.0u1.30	Tapping Set	Tapping Set	Template	tapset_raw	3
Motor Sequencing	408	3.0u1.30	Motor Sequencing	Motor Sequencing	Template	motseq_raw	3
Frontal Systems Behavior Scale	409	3.0u1.30	Frontal Systems Behavior Scale	Frontal Systems Behavior Scale	Template	NA	NA
Self-Rating: Before	410	3.0u1.30	Frontal Systems Behavior Scale	Frontal Systems Behavior Scale	Template	NA	NA
Apathy	411	3.0u1.30	Frontal Systems Behavior Scale	Self-Rating: Before	Template	NA	NA
Disinhibition	412	3.0u1.30	Frontal Systems Behavior Scale	Self-Rating: Before	Template	NA	NA
Exec. Dysfunction	413	3.0u1.30	Frontal Systems Behavior Scale	Self-Rating: Before	Template	NA	NA
Total Score	414	3.0u1.30	Frontal Systems Behavior Scale	Self-Rating: Before	Template	NA	NA
Self-Rating: After	415	3.0u1.30	Frontal Systems Behavior Scale	Frontal Systems Behavior Scale	Template	NA	NA
Apathy	416	3.0u1.30	Frontal Systems Behavior Scale	Self-Rating: After	Template	NA	NA
Disinhibition	417	3.0u1.30	Frontal Systems Behavior Scale	Self-Rating: After	Template	NA	NA
Exec. Dysfunction	418	3.0u1.30	Frontal Systems Behavior Scale	Self-Rating: After	Template	NA	NA
Total Score	419	3.0u1.30	Frontal Systems Behavior Scale	Self-Rating: After	Template	NA	NA
Family Rating: Before	420	3.0u1.30	Frontal Systems Behavior Scale	Frontal Systems Behavior Scale	Template	NA	NA
Apathy	421	3.0u1.30	Frontal Systems Behavior Scale	Family Rating: Before	Template	NA	NA
Disinhibition	422	3.0u1.30	Frontal Systems Behavior Scale	Family Rating: Before	Template	NA	NA
Exec. Dysfunction	423	3.0u1.30	Frontal Systems Behavior Scale	Family Rating: Before	Template	NA	NA
Total Score	424	3.0u1.30	Frontal Systems Behavior Scale	Family Rating: Before	Template	NA	NA
Family Rating: After	425	3.0u1.30	Frontal Systems Behavior Scale	Frontal Systems Behavior Scale	Template	NA	NA
Apathy	426	3.0u1.30	Frontal Systems Behavior Scale	Family Rating: After	Template	NA	NA
Disinhibition	427	3.0u1.30	Frontal Systems Behavior Scale	Family Rating: After	Template	NA	NA
Exec. Dysfunction	428	3.0u1.30	Frontal Systems Behavior Scale	Family Rating: After	Template	NA	NA
Total Score	429	3.0u1.30	Frontal Systems Behavior Scale	Family Rating: After	Template	NA	NA
Stroop Color-Word Test	430	3.0u1.30	Stroop Color-Word Test	Stroop Color-Word Test	Template	NA	NA
Word Score	431	3.0u1.30	Stroop Color-Word Test	Stroop Color-Word Test	Template	NA	NA
Color Score	432	3.0u1.30	Stroop Color-Word Test	Stroop Color-Word Test	Template	NA	NA
Color-Word Score	433	3.0u1.30	Stroop Color-Word Test	Stroop Color-Word Test	Template	NA	NA
Interference Score	434	3.0u1.30	Stroop Color-Word Test	Stroop Color-Word Test	Template	NA	NA
Multiple Loops (PDE, PFE)	435	3.0u1.30	Multiple Loops (PDE, PFE)	Multiple Loops (PDE, PFE)	Template	ml_pde_raw	3
Multiple Loops (PDE, PFE)	435	3.0u1.30	Multiple Loops (PDE, PFE)	Multiple Loops (PDE, PFE)	Template	ml_pfe_raw	3
Recurrent Series (PDE,PFE)	436	3.0u1.30	Recurrent Series (PDE,PFE)	Recurrent Series (PDE,PFE)	Template	rs_pde_raw	3
Recurrent Series (PDE,PFE)	436	3.0u1.30	Recurrent Series (PDE,PFE)	Recurrent Series (PDE,PFE)	Template	rs_pfe_raw	3
Picture Absurdities	437	3.0u1.30	Picture Absurdities	Picture Absurdities	Template	NA	NA
Booklet Category	438	3.0u1.30	Booklet Category	Booklet Category	Template	NA	NA
Errors	439	3.0u1.30	Booklet Category	Booklet Category	Template	book_cat_errors_raw	3
Errors	439	3.0u1.30	Booklet Category	Booklet Category	Template	book_cat_errors_ss	4
ILS-Health and Safety	440	3.0u1.30	ILS-Health and Safety	ILS-Health and Safety	Template	NA	NA
Memory/ Orientation	441	3.0u1.30	ILS-Health and Safety	ILS-Health and Safety	Template	NA	NA
Managing Money	442	3.0u1.30	ILS-Health and Safety	ILS-Health and Safety	Template	NA	NA
Managing Home and Transportation	443	3.0u1.30	ILS-Health and Safety	ILS-Health and Safety	Template	NA	NA
Health and Safety	444	3.0u1.30	ILS-Health and Safety	ILS-Health and Safety	Template	NA	NA
Social Adjustment	445	3.0u1.30	ILS-Health and Safety	ILS-Health and Safety	Template	NA	NA
SENSORY PERCEPTUAL EXAMINATION	447	3.0u1.30	SENSORY PERCEPTUAL EXAMINATION	SENSORY PERCEPTUAL EXAMINATION	Template	NA	NA
Tactile Imperceptions (DSS)	449	3.0u1.30	Tactile Imperceptions (DSS)	Tactile Imperceptions (DSS)	Template	NA	NA
Auditory Imperceptions (DSS)	450	3.0u1.30	Auditory Imperceptions (DSS)	Auditory Imperceptions (DSS)	Template	NA	NA
Visual Imperceptions (DSS)	451	3.0u1.30	Visual Imperceptions (DSS)	Visual Imperceptions (DSS)	Template	NA	NA
Above Eye Level	452	3.0u1.30	Visual Imperceptions (DSS)	Visual Imperceptions (DSS)	Template	NA	NA
Eye Level	453	3.0u1.30	Visual Imperceptions (DSS)	Visual Imperceptions (DSS)	Template	NA	NA
Below Eye Level	454	3.0u1.30	Visual Imperceptions (DSS)	Visual Imperceptions (DSS)	Template	NA	NA
Finger Gnosis	455	3.0u1.30	Finger Gnosis	Finger Gnosis	Template	NA	NA
Graphesthesia	456	3.0u1.30	Graphesthesia	Graphesthesia	Template	NA	NA
Smell Identification Test	457	3.0u1.30	Smell Identification Test	Smell Identification Test	Template	NA	NA
PSYCHO-MOTOR	459	3.0u1.30	PSYCHO-MOTOR	PSYCHO-MOTOR	Template	NA	NA
Finger Speed	461	3.0u1.30	Finger Speed	Finger Speed	Template	NA	NA
Dominant Hand	462	3.0u1.30	Finger Speed	Finger Speed	Template	NA	NA
Non-Dominant Hand	463	3.0u1.30	Finger Speed	Finger Speed	Template	NA	NA
Grip Strength	464	3.0u1.30	Grip Strength	Grip Strength	Template	NA	NA
Dominant Hand	465	3.0u1.30	Grip Strength	Grip Strength	Template	gripstrength_dh_raw	3
Dominant Hand	465	3.0u1.30	Grip Strength	Grip Strength	Template	gripstrength_dh_ss	4
Non-Dominant Hand	466	3.0u1.30	Grip Strength	Grip Strength	Template	gripstrength_ndh_raw	3
Non-Dominant Hand	466	3.0u1.30	Grip Strength	Grip Strength	Template	gripstrength_ndh_ss	4
Grooved Pegboard	467	3.0u1.30	Grooved Pegboard	Grooved Pegboard	Template	NA	NA
Dominant Hand	468	3.0u1.30	Grooved Pegboard	Grooved Pegboard	Template	pegs_dh_trial1_raw	3
Dominant Hand	468	3.0u1.30	Grooved Pegboard	Grooved Pegboard	Template	pegs_dh_trial1_ss	4
Trial 2	469	3.0u1.30	Grooved Pegboard	Dominant Hand	Template	NA	NA
Non-Dominant Hand	470	3.0u1.30	Grooved Pegboard	Grooved Pegboard	Template	pegs_ndh_trial1_raw	3
Non-Dominant Hand	470	3.0u1.30	Grooved Pegboard	Grooved Pegboard	Template	pegs_ndh_trial1_ss	4
Trial 2	471	3.0u1.30	Grooved Pegboard	Non-Dominant Hand	Template	NA	NA
9-Hole Pegboard	472	3.0u1.30	9-Hole Pegboard	9-Hole Pegboard	Template	NA	NA
Dominant Hand	473	3.0u1.30	9-Hole Pegboard	9-Hole Pegboard	Template	NA	NA
Trial 2	474	3.0u1.30	9-Hole Pegboard	Dominant Hand	Template	NA	NA
Non-Dominant Hand	475	3.0u1.30	9-Hole Pegboard	9-Hole Pegboard	Template	NA	NA
Trial 2	476	3.0u1.30	9-Hole Pegboard	Non-Dominant Hand	Template	NA	NA
MOOD & PERSONALITY	478	3.0u1.30	MOOD & PERSONALITY	MOOD & PERSONALITY	Template	NA	NA
Beck Depression Inventory-2	480	3.0u1.30	Beck Depression Inventory-2	Beck Depression Inventory-2	Template	bdi_class	6
Beck Depression Inventory-2	480	3.0u1.30	Beck Depression Inventory-2	Beck Depression Inventory-2	Template	bdi_raw	3
Beck Anxiety Inventory	481	3.0u1.30	Beck Anxiety Inventory	Beck Anxiety Inventory	Template	bai_class	6
Beck Anxiety Inventory	481	3.0u1.30	Beck Anxiety Inventory	Beck Anxiety Inventory	Template	bai_raw	3
Geriatric Depression Scale	482	3.0u1.30	Geriatric Depression Scale	Geriatric Depression Scale	Template	gds_class	6
Geriatric Depression Scale	482	3.0u1.30	Geriatric Depression Scale	Geriatric Depression Scale	Template	gds_raw	3
ADFACS (Modified Scores)	483	3.0u1.30	ADFACS (Modified Scores)	ADFACS (Modified Scores)	Template	NA	NA
Instrumental ADL's	484	3.0u1.30	ADFACS (Modified Scores)	ADFACS (Modified Scores)	Template	adfacs_iadlperc	3
Basic ADL's	485	3.0u1.30	ADFACS (Modified Scores)	ADFACS (Modified Scores)	Template	adfacs_adlperc	3
Total Impairment	486	3.0u1.30	ADFACS (Modified Scores)	ADFACS (Modified Scores)	Template	adfacs_tot	3
State-Trait Anxiety Inventory	487	3.0u1.30	State-Trait Anxiety Inventory	State-Trait Anxiety Inventory	Template	NA	NA
State Anxiety	488	3.0u1.30	State-Trait Anxiety Inventory	State-Trait Anxiety Inventory	Template	NA	NA
Trait Anxiety	489	3.0u1.30	State-Trait Anxiety Inventory	State-Trait Anxiety Inventory	Template	NA	NA
ADHD Rating Scales-IV (Adult)	490	3.0u1.30	ADHD Rating Scales-IV (Adult)	ADHD Rating Scales-IV (Adult)	Template	NA	NA
Childhood Symptoms	491	3.0u1.30	ADHD Rating Scales-IV (Adult)	ADHD Rating Scales-IV (Adult)	Template	NA	NA
Inattention	492	3.0u1.30	ADHD Rating Scales-IV (Adult)	Childhood Symptoms	Template	NA	NA
Hyperactivity-Impulsivity	493	3.0u1.30	ADHD Rating Scales-IV (Adult)	Childhood Symptoms	Template	NA	NA
Total ADHD	494	3.0u1.30	ADHD Rating Scales-IV (Adult)	Childhood Symptoms	Template	NA	NA
Current Symptoms	495	3.0u1.30	ADHD Rating Scales-IV (Adult)	ADHD Rating Scales-IV (Adult)	Template	NA	NA
Inattention	496	3.0u1.30	ADHD Rating Scales-IV (Adult)	Current Symptoms	Template	NA	NA
Hyperactivity-Impulsivity	497	3.0u1.30	ADHD Rating Scales-IV (Adult)	Current Symptoms	Template	NA	NA
Total ADHD	498	3.0u1.30	ADHD Rating Scales-IV (Adult)	Current Symptoms	Template	NA	NA
ASEBA - Adult Self Report	499	3.0u1.30	ASEBA - Adult Self Report	ASEBA - Adult Self Report	Template	NA	NA
Self-Report	500	3.0u1.30	ASEBA - Adult Self Report	ASEBA - Adult Self Report	Template	NA	NA
Anxious / Depressed	501	3.0u1.30	ASEBA - Adult Self Report	Self-Report	Template	NA	NA
Withdrawn	502	3.0u1.30	ASEBA - Adult Self Report	Self-Report	Template	NA	NA
Somatic Complaints	503	3.0u1.30	ASEBA - Adult Self Report	Self-Report	Template	NA	NA
Thought Problems	504	3.0u1.30	ASEBA - Adult Self Report	Self-Report	Template	NA	NA
Attention Problems	505	3.0u1.30	ASEBA - Adult Self Report	Self-Report	Template	NA	NA
Aggressive Behavior	506	3.0u1.30	ASEBA - Adult Self Report	Self-Report	Template	NA	NA
Rule-Breaking Behavior	507	3.0u1.30	ASEBA - Adult Self Report	Self-Report	Template	NA	NA
Intrusive	508	3.0u1.30	ASEBA - Adult Self Report	Self-Report	Template	NA	NA
AD/H Problems	509	3.0u1.30	ASEBA - Adult Self Report	Self-Report	Template	NA	NA
Inattention	510	3.0u1.30	ASEBA - Adult Self Report	Self-Report	Template	NA	NA
Hyper-Impulsivity	511	3.0u1.30	ASEBA - Adult Self Report	Self-Report	Template	NA	NA
Collateral Report	512	3.0u1.30	ASEBA - Adult Self Report	ASEBA - Adult Self Report	Template	NA	NA
Anxious / Depressed	513	3.0u1.30	ASEBA - Adult Self Report	Collateral Report	Template	NA	NA
Withdrawn	514	3.0u1.30	ASEBA - Adult Self Report	Collateral Report	Template	NA	NA
Somatic Complaints	515	3.0u1.30	ASEBA - Adult Self Report	Collateral Report	Template	NA	NA
Thought Problems	516	3.0u1.30	ASEBA - Adult Self Report	Collateral Report	Template	NA	NA
Attention Problems	517	3.0u1.30	ASEBA - Adult Self Report	Collateral Report	Template	NA	NA
Aggressive Behavior	518	3.0u1.30	ASEBA - Adult Self Report	Collateral Report	Template	NA	NA
Rule-Breaking Behavior	519	3.0u1.30	ASEBA - Adult Self Report	Collateral Report	Template	NA	NA
Intrusive	520	3.0u1.30	ASEBA - Adult Self Report	Collateral Report	Template	NA	NA
AD/H Problems	521	3.0u1.30	ASEBA - Adult Self Report	Collateral Report	Template	NA	NA
Inattention	522	3.0u1.30	ASEBA - Adult Self Report	Collateral Report	Template	NA	NA
Hyper-Impulsivity	523	3.0u1.30	ASEBA - Adult Self Report	Collateral Report	Template	NA	NA
ASEBA - Adult Behavior Checklist	524	3.0u1.30	ASEBA - Adult Behavior Checklist	ASEBA - Adult Behavior Checklist	Template	NA	NA
Self-Report	525	3.0u1.30	ASEBA - Adult Behavior Checklist	ASEBA - Adult Behavior Checklist	Template	NA	NA
Anxious / Depressed	526	3.0u1.30	ASEBA - Adult Behavior Checklist	Self-Report	Template	NA	NA
Withdrawn	527	3.0u1.30	ASEBA - Adult Behavior Checklist	Self-Report	Template	NA	NA
Somatic Complaints	528	3.0u1.30	ASEBA - Adult Behavior Checklist	Self-Report	Template	NA	NA
Thought Problems	529	3.0u1.30	ASEBA - Adult Behavior Checklist	Self-Report	Template	NA	NA
Attention Problems	530	3.0u1.30	ASEBA - Adult Behavior Checklist	Self-Report	Template	NA	NA
Aggressive Behavior	531	3.0u1.30	ASEBA - Adult Behavior Checklist	Self-Report	Template	NA	NA
Rule-Breaking Behavior	532	3.0u1.30	ASEBA - Adult Behavior Checklist	Self-Report	Template	NA	NA
Intrusive	533	3.0u1.30	ASEBA - Adult Behavior Checklist	Self-Report	Template	NA	NA
AD/H Problems	534	3.0u1.30	ASEBA - Adult Behavior Checklist	Self-Report	Template	NA	NA
Inattention	535	3.0u1.30	ASEBA - Adult Behavior Checklist	Self-Report	Template	NA	NA
Hyper-Impulsivity	536	3.0u1.30	ASEBA - Adult Behavior Checklist	Self-Report	Template	NA	NA
Collateral Report	537	3.0u1.30	ASEBA - Adult Behavior Checklist	ASEBA - Adult Behavior Checklist	Template	NA	NA
Anxious / Depressed	538	3.0u1.30	ASEBA - Adult Behavior Checklist	Collateral Report	Template	NA	NA
Withdrawn	539	3.0u1.30	ASEBA - Adult Behavior Checklist	Collateral Report	Template	NA	NA
Somatic Complaints	540	3.0u1.30	ASEBA - Adult Behavior Checklist	Collateral Report	Template	NA	NA
Thought Problems	541	3.0u1.30	ASEBA - Adult Behavior Checklist	Collateral Report	Template	NA	NA
Attention Problems	542	3.0u1.30	ASEBA - Adult Behavior Checklist	Collateral Report	Template	NA	NA
Aggressive Behavior	543	3.0u1.30	ASEBA - Adult Behavior Checklist	Collateral Report	Template	NA	NA
Rule-Breaking Behavior	544	3.0u1.30	ASEBA - Adult Behavior Checklist	Collateral Report	Template	NA	NA
Intrusive	545	3.0u1.30	ASEBA - Adult Behavior Checklist	Collateral Report	Template	NA	NA
AD/H Problems	546	3.0u1.30	ASEBA - Adult Behavior Checklist	Collateral Report	Template	NA	NA
Inattention	547	3.0u1.30	ASEBA - Adult Behavior Checklist	Collateral Report	Template	NA	NA
Hyper-Impulsivity	548	3.0u1.30	ASEBA - Adult Behavior Checklist	Collateral Report	Template	NA	NA
QoLiE-31	549	3.0u1.30	QoLiE-31	QoLiE-31	Template	NA	NA
Seizure Worry	550	3.0u1.30	QoLiE-31	QoLiE-31	Template	NA	NA
Overall Quality of Life	551	3.0u1.30	QoLiE-31	QoLiE-31	Template	NA	NA
Emotional Well-being	552	3.0u1.30	QoLiE-31	QoLiE-31	Template	NA	NA
Energy / Fatigue	553	3.0u1.30	QoLiE-31	QoLiE-31	Template	NA	NA
Cognitive Functioning	554	3.0u1.30	QoLiE-31	QoLiE-31	Template	NA	NA
